#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"AdminService";"0";"161";"4391112704";"7749632";"2416640";"8968";"C:\WINDOWS\System32\drivers\AdminService.exe";"Windows (R) Win 7 DDK provider";"2,21875";"10.0.10011.16384";"10.0.10011.16384";"Windows Setup API";"Windows (R) Win 7 DDK driver";"Process";"8";;"False";;"6396";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"161";"5644";".";"0";"";"System.Diagnostics.ProcessModule (AdminService.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"8968";"8968";"2416640";"2416640";"120544";"120544";"2449408";"2449408";"8220672";"8220672";"99291136";"4394258432";"True";"Normal";"2416640";"2416640";"00:00:01.7812500";"AdminService";"255";"True";"0";"System.Diagnostics.ProcessStartInfo";"26/02/2020 4:43:18 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:02.2187500";"00:00:00.4375000";"96145408";"4391112704";"False";;;;"7749632";"7749632";;
"ApplicationFrameHost";"2";"498";"2203590119424";"39845888";"20914176";"28960";"C:\WINDOWS\system32\ApplicationFrameHost.exe";"Microsoft Corporation";"1,796875";"10.0.18362.1 (WinBuild.160101.0800)";"10.0.18362.1";"Application Frame Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"7644";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"498";"17116";".";"1116092";"Bandeja de entrada - Hotmail ?- Correo";"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"28960";"28960";"20914176";"20914176";"404728";"404728";"33472512";"33472512";"46620672";"46620672";"286281728";"2203604504576";"True";"Normal";"20914176";"20914176";"00:00:01.0312500";"ApplicationFrameHost";"255";"True";"2";"System.Diagnostics.ProcessStartInfo";"26/02/2020 5:28:47 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:01.7968750";"00:00:00.7656250";"271896576";"2203590119424";"False";;;;"39845888";"39845888";;
"armsvc";"0";"156";"46997504";"7106560";"1556480";"10048";"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe";"Adobe Systems";"0,109375";"1.824.35.0289";"1.824.35.0289";"Adobe Acrobat Update Service";"Adobe Acrobat Update Service";"Process";"8";;"False";;"4240";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"156";"5672";".";"0";"";"System.Diagnostics.ProcessModule (armsvc.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"10048";"10048";"1556480";"1556480";"92864";"92864";"1835008";"1835008";"7241728";"7241728";"52129792";"52129792";"True";"Normal";"1556480";"1556480";"00:00:00.0468750";"armsvc";"255";"True";"0";"System.Diagnostics.ProcessStartInfo";"26/02/2020 4:43:18 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1093750";"00:00:00.0625000";"46997504";"46997504";"False";;;;"7106560";"7106560";;
"audiodg";"0";"357";"2203446722560";"18206720";"12922880";"14272";"C:\WINDOWS\system32\AUDIODG.EXE";"Microsoft Corporation";"3,65625";"10.0.18362.656 (WinBuild.160101.0800)";"10.0.18362.656";"Aislamiento de gr?ficos de dispositivo de audio de Windows ";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"5172";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"357";"16632";".";"0";"";"System.Diagnostics.ProcessModule (AUDIODG.EXE)";"12783616";"11575296";"System.Diagnostics.ProcessModuleCollection";"14272";"14272";"12922880";"12922880";"164544";"164544";"13058048";"13058048";"18255872";"18255872";"131645440";"2203449868288";"True";"Normal";"12922880";"12922880";"00:00:00.5625000";"audiodg";"255";"True";"0";"System.Diagnostics.ProcessStartInfo";"27/02/2020 5:14:37 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:03.6562500";"00:00:03.0937500";"128499712";"2203446722560";"False";;;;"18206720";"18206720";;
"CefSharp.BrowserSubprocess";"2";"424";"5333422080";"79142912";"51712000";"39408";"C:\Users\LENOVO\AppData\Local\DeepL\app-1.11.0\x64\CefSharp.BrowserSubprocess.exe";"The CefSharp Authors";"2,40625";"75.1.142.0";"75.1.142.0";"CefSharp.BrowserSubprocess";"CefSharp";"Process";"4";;"False";;"3908";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"424";"12580";".";"0";"";"System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"39408";"39408";"51712000";"51712000";"635144";"635144";"58339328";"58339328";"91586560";"91586560";"1081667584";"5376634880";"True";"Idle";"51712000";"51712000";"00:00:00.3906250";"CefSharp.BrowserSubprocess";"255";"True";"2";"System.Diagnostics.ProcessStartInfo";"26/02/2020 5:13:01 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:02.4062500";"00:00:02.0156250";"1038454784";"5333422080";"False";;;;"79142912";"79142912";;
"CefSharp.BrowserSubprocess";"2";"608";"5377007616";"54276096";"56799232";"35264";"C:\Users\LENOVO\AppData\Local\DeepL\app-1.11.0\x64\CefSharp.BrowserSubprocess.exe";"The CefSharp Authors";"1,09375";"75.1.142.0";"75.1.142.0";"CefSharp.BrowserSubprocess";"CefSharp";"Process";"8";;"False";;"6292";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"608";"12764";".";"0";"";"System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"35264";"35264";"56799232";"56799232";"827632";"827632";"446214144";"446214144";"146542592";"146542592";"1458356224";"5753323520";"True";"Normal";"56799232";"56799232";"00:00:00.7343750";"CefSharp.BrowserSubprocess";"255";"True";"2";"System.Diagnostics.ProcessStartInfo";"26/02/2020 5:13:01 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:01.0937500";"00:00:00.3593750";"1082040320";"5377007616";"False";;;;"54276096";"54276096";;
"CefSharp.BrowserSubprocess";"2";"467";"5117554688";"36458496";"25956352";"30536";"C:\Users\LENOVO\AppData\Local\DeepL\app-1.11.0\x64\CefSharp.BrowserSubprocess.exe";"The CefSharp Authors";"1,203125";"75.1.142.0";"75.1.142.0";"CefSharp.BrowserSubprocess";"CefSharp";"Process";"8";;"False";;"7460";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"467";"13864";".";"0";"";"System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"30536";"30536";"25956352";"25956352";"630872";"630872";"26300416";"26300416";"36712448";"36712448";"876064768";"5171032064";"True";"Normal";"25956352";"25956352";"00:00:00.6718750";"CefSharp.BrowserSubprocess";"255";"True";"2";"System.Diagnostics.ProcessStartInfo";"26/02/2020 5:13:00 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:01.2031250";"00:00:00.5312500";"822587392";"5117554688";"False";;;;"36458496";"36458496";;
"chrome";"2";"300";"2208084410368";"92090368";"56717312";"22296";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"22,1875";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"8";;"False";;"8136";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"300";"3688";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"22296";"22296";"56717312";"56717312";"438168";"438168";"68370432";"68370432";"97529856";"97529856";"299118592";"2212207276032";"True";"Normal";"56717312";"56717312";"00:00:02.0468750";"chrome";"255";"True";"2";"System.Diagnostics.ProcessStartInfo";"27/02/2020 4:12:07 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:22.1875000";"00:00:20.1406250";"471220224";"2208084410368";"False";;;;"92090368";"92090368";;
"chrome";"2";"399";"2208406605824";"285995008";"248553472";"41008";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"243,984375";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"8";;"False";;"4000";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"399";"5668";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"41008";"41008";"248553472";"248553472";"527552";"527552";"288509952";"288509952";"335667200";"335667200";"830267392";"2217033392128";"True";"Normal";"248553472";"248553472";"00:00:20.6093750";"chrome";"255";"True";"2";"System.Diagnostics.ProcessStartInfo";"27/02/2020 4:11:21 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:04:03.9843750";"00:03:43.3750000";"793415680";"2208406605824";"False";;;;"285995008";"285995008";;
"chrome";"2";"785";"2204453818368";"248512512";"251666432";"37312";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"185,75";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"10";;"False";;"7516";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"785";"10196";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"37312";"37312";"251666432";"251666432";"939160";"939160";"490864640";"490864640";"528838656";"528838656";"1353814016";"2204672036864";"True";"AboveNormal";"251666432";"251666432";"00:00:42.4531250";"chrome";"255";"True";"2";"System.Diagnostics.ProcessStartInfo";"27/02/2020 4:10:54 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:03:05.7500000";"00:02:23.2968750";"1135595520";"2204453818368";"False";;;;"248512512";"248512512";;
